State: 61, Symbol: factor -> Shift, Next State: 51
State: 61, Symbol: item -> Shift, Next State: 50
State: 62, Symbol: ( -> Shift, Next State: 53
State: 62, Symbol: ID -> Shift, Next State: 54
State: 62, Symbol: NUM -> Shift, Next State: 52
State: 62, Symbol: add_expression -> Shift, Next State: 77
State: 62, Symbol: factor -> Shift, Next State: 51
State: 62, Symbol: item -> Shift, Next State: 50
State: 63, Symbol: ( -> Shift, Next State: 53
State: 63, Symbol: ID -> Shift, Next State: 54
State: 63, Symbol: NUM -> Shift, Next State: 52
State: 63, Symbol: add_expression -> Shift, Next State: 78
State: 63, Symbol: factor -> Shift, Next State: 51
State: 63, Symbol: item -> Shift, Next State: 50
State: 64, Symbol: ( -> Shift, Next State: 53
State: 64, Symbol: ID -> Shift, Next State: 54
State: 64, Symbol: NUM -> Shift, Next State: 52
State: 64, Symbol: add_expression -> Shift, Next State: 79
State: 64, Symbol: factor -> Shift, Next State: 51
State: 64, Symbol: item -> Shift, Next State: 50
State: 65, Symbol: ( -> Shift, Next State: 53
State: 65, Symbol: ID -> Shift, Next State: 54
State: 65, Symbol: NUM -> Shift, Next State: 52
State: 65, Symbol: add_expression -> Shift, Next State: 80
State: 65, Symbol: factor -> Shift, Next State: 51
State: 65, Symbol: item -> Shift, Next State: 50
State: 66, Symbol: ( -> Shift, Next State: 53
State: 66, Symbol: ID -> Shift, Next State: 54
State: 66, Symbol: NUM -> Shift, Next State: 52
State: 66, Symbol: add_expression -> Shift, Next State: 81
State: 66, Symbol: factor -> Shift, Next State: 51
State: 66, Symbol: item -> Shift, Next State: 50
State: 67, Symbol: ( -> Shift, Next State: 53
State: 67, Symbol: ID -> Shift, Next State: 54
State: 67, Symbol: NUM -> Shift, Next State: 52
State: 67, Symbol: add_expression -> Shift, Next State: 82
State: 67, Symbol: factor -> Shift, Next State: 51
State: 67, Symbol: item -> Shift, Next State: 50
State: 68, Symbol: ( -> Shift, Next State: 53
State: 68, Symbol: ID -> Shift, Next State: 54
State: 68, Symbol: NUM -> Shift, Next State: 52
State: 68, Symbol: add_expression -> Shift, Next State: 83
State: 68, Symbol: factor -> Shift, Next State: 51
State: 68, Symbol: item -> Shift, Next State: 50
State: 69, Symbol: ( -> Shift, Next State: 53
State: 69, Symbol: ID -> Shift, Next State: 54
State: 69, Symbol: NUM -> Shift, Next State: 52
State: 69, Symbol: factor -> Shift, Next State: 51
State: 69, Symbol: item -> Shift, Next State: 84
State: 70, Symbol: ( -> Shift, Next State: 53
State: 70, Symbol: ID -> Shift, Next State: 54
State: 70, Symbol: NUM -> Shift, Next State: 52
State: 70, Symbol: factor -> Shift, Next State: 51
State: 70, Symbol: item -> Shift, Next State: 85
State: 71, Symbol: ) -> Shift, Next State: 86
State: 72, Symbol: ( -> Shift, Next State: 53
State: 72, Symbol: ) -> Reduce, Production ID: 49
State: 72, Symbol: ID -> Shift, Next State: 54
State: 72, Symbol: NUM -> Shift, Next State: 52
State: 72, Symbol: add_expression -> Shift, Next State: 49
State: 72, Symbol: argument_list -> Shift, Next State: 87
State: 72, Symbol: expression -> Shift, Next State: 88
State: 72, Symbol: factor -> Shift, Next State: 51
State: 72, Symbol: item -> Shift, Next State: 50
State: 73, Symbol: ( -> Shift, Next State: 53
State: 73, Symbol: ID -> Shift, Next State: 54
State: 73, Symbol: NUM -> Shift, Next State: 52
State: 73, Symbol: add_expression -> Shift, Next State: 49
State: 73, Symbol: expression -> Shift, Next State: 89
State: 73, Symbol: factor -> Shift, Next State: 51
State: 73, Symbol: item -> Shift, Next State: 50
State: 74, Symbol: ) -> Shift, Next State: 90
State: 75, Symbol: ID -> Reduce, Production ID: 24
State: 75, Symbol: if -> Reduce, Production ID: 24
State: 75, Symbol: return -> Reduce, Production ID: 24
State: 75, Symbol: while -> Reduce, Production ID: 24
State: 75, Symbol: } -> Reduce, Production ID: 24
State: 76, Symbol: ) -> Reduce, Production ID: 33
State: 76, Symbol: , -> Reduce, Production ID: 33
State: 76, Symbol: ; -> Reduce, Production ID: 33
State: 77, Symbol: ) -> Reduce, Production ID: 34
State: 77, Symbol: , -> Reduce, Production ID: 34
State: 77, Symbol: ; -> Reduce, Production ID: 34
